iter	Logloss
0	0.6750381117
1	0.6583705935
2	0.642709739
3	0.6287374303
4	0.6162793832
5	0.6037271405
6	0.5915011239
7	0.5807104788
8	0.5701199231
9	0.56072489
10	0.5523693326
11	0.5439761828
12	0.5365509951
13	0.5295693109
14	0.5231344743
15	0.5170184958
16	0.5110076632
17	0.5056757256
18	0.5006311173
19	0.4959345716
20	0.491766139
21	0.4879856434
22	0.484142893
23	0.4807165109
24	0.4775561399
25	0.4743155063
26	0.4711670372
27	0.4686033992
28	0.4658880231
29	0.4635290721
30	0.4611203293
31	0.4590274999
32	0.4570621075
33	0.4550667882
34	0.4531864388
35	0.4514484113
36	0.4499435913
37	0.448488355
38	0.4470568843
39	0.4455337886
40	0.4442148148
41	0.4430937505
42	0.4418406305
43	0.4408317445
44	0.4400474529
45	0.4390587038
46	0.4381541436
47	0.4375111328
48	0.4365550301
49	0.4358619514
50	0.435071286
51	0.4344648437
52	0.4337529199
53	0.4331117065
54	0.4326951046
55	0.4321503858
56	0.4315946999
57	0.4309689451
58	0.4304994962
59	0.4299802554
60	0.4293282195
61	0.4287662745
62	0.4283170389
63	0.4277845238
64	0.4273066615
65	0.4269440029
66	0.4265334645
67	0.4260853847
68	0.4257288704
69	0.4253411034
70	0.4249900025
71	0.4246784742
72	0.4244280576
73	0.4240821874
74	0.4238738504
75	0.4235713473
76	0.4232103586
77	0.4229705097
78	0.4227359042
79	0.4225003554
80	0.4221781404
81	0.4220210824
82	0.4217689491
83	0.4214979877
84	0.4210629741
85	0.4208197045
86	0.4205597612
87	0.420414057
88	0.4202178938
89	0.4199966435
90	0.4198509945
91	0.4196130109
92	0.4194051115
93	0.4190775681
94	0.4189104948
95	0.4186679391
96	0.41850868
97	0.4182863504
98	0.418018971
99	0.4178776732
100	0.4177127244
101	0.4176032614
102	0.4174752083
103	0.4173171347
104	0.4171803452
105	0.4170657067
106	0.4169627237
107	0.416765392
108	0.416548973
109	0.4164504346
110	0.4161948892
111	0.4160027075
112	0.4158637
113	0.4156925814
114	0.4155460231
115	0.4153341932
116	0.4152183905
117	0.4150913359
118	0.4149456444
119	0.4147987759
120	0.4146821148
121	0.4145450066
122	0.4144017584
123	0.4142120412
124	0.413973688
125	0.4138527607
126	0.4137636767
127	0.413599803
128	0.4134645943
129	0.4133134978
130	0.4130684819
131	0.4129452261
132	0.4127245239
133	0.4126127153
134	0.4124653497
135	0.4122456291
